name,description
Shed Removal Service,Removes old sheds
Bathtub Refinishing,Refinishes bathtubs
Concrete Repair Service,Repairs concrete surfaces
Home Stager,Stages homes for sale
Rainwater Harvesting Installer,Installs rainwater harvesting systems
Window Tinting Specialist,Applies window tinting
Curtain Installer,Installs and adjusts curtains
Driveway Pressure Washing,Pressure washes driveways
Fence Painting Service,Paints and maintains fences
Gazebo Builder,Builds gazebos and structures
Hot Tub Maintenance,Maintains hot tubs and spas
Landscape Lighting Specialist,Installs outdoor lighting
Leak Repair Technician,Repairs leaks and seals
Security Camera Installer,Installs security camera systems
Soundproof Window Installer,Installs soundproof windows
Storm Damage Repair,Repairs storm damage
Water Leak Detector,Detects water leaks
Wooden Staircase Builder,Builds wooden staircases
Solar Water Heater Installer,Installs solar water heating
Tree Pruning Service,Prunes trees for health
Vinyl Siding Repair,Repairs vinyl siding
Window Shutter Installer,Installs window shutters
Outdoor Fireplace Builder,Builds outdoor fireplaces
Interior Wall Repair,Repairs interior walls
Closet Organizer Installer,Installs closet organizers
Metal Fabricator,Fabricates metal components
Green Roof Installer,Installs green roofs
HVAC Duct Installer,Installs HVAC ducts
Underground Utility Locator,Locates underground utilities
Wind Turbine Installer,Installs wind turbines
Wood Floor Polishing Service,Polishes wood floors
Pool Fence Installer,Installs pool fences
Crawl Space Insulation Specialist,Insulates crawl spaces
